id,opportunity_uid,revision_number,changed_by,changed_at,changed_fields,full_snapshot,forecast_date
215,8b9f3cb1-86cd-45ff-acd5-2ac1fa1b2c7e,2,RJR,2025-05-28 12:09:50.476487,"{""rev"": 2, ""Margin"": null, ""final_amt"": ""643200.00"", ""forecast_date"": null, ""Submitted Date"": null, ""Client Deadline"": null}","{""rev"": 2, ""Margin"": null, ""final_amt"": ""643200.00"", ""forecast_date"": null, ""Submitted Date"": null, ""Client Deadline"": null}",
216,52fa4bf4-08f7-4748-805e-658e3a15a80e,2,RJR,2025-05-29 08:38:41.158364,"{""rev"": 2, ""Margin"": ""17"", ""final_amt"": ""1963392.85"", ""forecast_date"": null, ""Submitted Date"": null, ""Client Deadline"": ""2025-03-20T16:00:00.000Z""}","{""rev"": 2, ""Margin"": ""17"", ""final_amt"": ""1963392.85"", ""forecast_date"": null, ""Submitted Date"": null, ""Client Deadline"": ""2025-03-20T16:00:00.000Z""}",
